Date;Cohort 1 Rev;Cohort 2 Rev;Cohort 3 Rev;Cohort 4 Rev
Jan-23;5,381984457;;;
Feb-23;4,264968815;4,975796951;;
March-24;2,132484407;4,264968815;5,991265716;
Apr-23;2,234031284;3,858781309;4,264968815;5,057034452
May.23;1,929390654;2,234031284;3,046406296;4,264968815
Jun-23;1,827843778;1,919235967;1,523203148;3,554140679
Jul-23;1,726296901;1,015468765;1,015468765;2,132484407
Aug-23;0,812375012;0,863148451;3,757234432;1,523203148
Sep-23;0,99515939;0,767694387;0,913921889;0,913921889
Oct-23;0,548353133;0,660054698;0,507734383;0,762820137
Nov-23;0,406187506;0,558507821;0,324950005;0,520224649
Dec-23;0,233557816;0,426496881;0,203093753;0,233557816
Jan-24;0,111701564;0,324950005;0,101546877;0,101546877
Feb-24;0,096103964;0,101546877;1,624750025;0,050773438
March-24;0,031805802;0,005077344;0,203093753;0,020309375
Apr-21;0,000532766;8,12E-06;0,091392189;0,000507734
