"vehicleid","Brand","Model","Year","N_view","N_offer","Seller_Type","Ask_Price","Sale_Price","Target"
475312,"Renault","Megane",2018,165,11,"FILO",680000,683000,4
510780,"Renault","Megane",2018,43,1,"FILO",660000,650000,4
518623,"Renault","Clio",2018,376,5,"FILO",635000,640500,4
518745,"Renault","Clio",2019,362,14,"FILO",625000,625000,4
519030,"Renault","Clio",2018,33,6,"FILO",625000,625000,2
519671,"Renault","Megane",2020,1,0,"Satın Alma",797700,797700,1
520133,"Peugeot","2008",2022,74,4,"RAC",1085000,1044100,2
520186,"Renault","Megane",2022,0,0,"Satın Alma",9e+05,9e+05,1
520332,"Renault","Clio",2019,153,7,"FILO",595000,596000,4
520351,"Peugeot","2008",2022,70,16,"RAC",1035000,1004000,3
520531,"Citroen","C-Elysee",2021,14,3,"RAC",590000,580200,1
520535,"Citroen","C-Elysee",2022,95,45,"RAC",6e+05,638000,1
520538,"Opel","Mokka",2022,68,22,"RAC",1137500,1140500,1
520546,"Renault","Megane",2022,151,19,"RAC",870000,0,3
520629,"Opel","Mokka",2022,39,62,"RAC",1035000,1092000,1
520632,"Renault","Megane",2022,125,30,"RAC",835000,856000,1
520639,"Citroen","C-Elysee",2022,64,17,"RAC",595000,633000,1
520654,"Renault","Clio",2022,20,9,"RAC",590000,591500,1
520672,"Renault","Taliant",2022,43,12,"RAC",670000,661500,3
520673,"Renault","Clio",2022,20,104,"RAC",650000,701000,1
520674,"Renault","Taliant",2022,81,6,"RAC",675000,675000,2
520681,"Opel","Mokka",2021,57,5,"RAC",1030000,1028000,1
520688,"Opel","Mokka",2021,91,22,"RAC",1030000,1030000,2
520691,"Opel","Mokka",2022,73,80,"RAC",1130000,1192000,1
520692,"Renault","Clio",2022,65,5,"RAC",730000,727000,3
521675,"Renault","Megane",2020,190,18,"FILO",730000,733000,4
521679,"Renault","Megane",2020,177,7,"FILO",755000,755000,4
521909,"Opel","Mokka",2022,21,13,"RAC",1130000,1132000,1
522656,"Renault","Clio",2022,41,5,"RAC",740000,730500,1
522729,"Renault","Clio",2022,13,14,"RAC",550000,538500,1
522766,"Renault","Clio",2022,40,27,"RAC",585000,581300,3
523256,"Peugeot","3008",2022,205,107,"RAC",1370000,1432000,1
523259,"Renault","Clio",2022,24,20,"RAC",580000,587500,1
523266,"Renault","Clio",2022,43,34,"RAC",585000,0,2
523327,"Opel","Mokka",2022,49,11,"RAC",1150000,1139500,1
523519,"Peugeot","3008",2022,106,15,"RAC",1370000,1437000,1
523522,"Opel","Mokka",2022,27,18,"RAC",1055000,1050500,1
523523,"Renault","Clio",2022,21,6,"RAC",585000,0,2
523539,"Citroen","C-Elysee",2022,76,15,"RAC",652000,0,2
523540,"Renault","Clio",2022,59,77,"RAC",580000,588500,3
523683,"Peugeot","2008",2022,38,2,"RAC",1170000,1155000,1
523692,"Renault","Megane",2022,120,42,"RAC",835000,866000,1
525001,"Renault","Clio",2022,45,5,"RAC",735000,735500,1
525105,"Renault","Clio",2022,26,1,"RAC",730000,720000,1
525113,"Opel","Mokka",2021,99,32,"RAC",1030000,1042000,2
525120,"Opel","Mokka",2021,28,8,"RAC",1080000,1078000,1
525176,"Renault","Clio",2022,40,20,"RAC",690000,596000,1
525431,"Renault","Megane",2020,152,3,"RAC",750000,702000,4
525495,"Renault","Clio",2022,69,5,"RAC",598000,597500,2
525496,"Opel","Mokka",2022,36,4,"RAC",1050000,1035000,1
525504,"Renault","Taliant",2022,92,38,"RAC",680000,683000,2
525505,"Renault","Clio",2022,64,30,"RAC",730000,745500,1
525518,"Opel","Crossland",2022,18,3,"RAC",960000,960200,1
525525,"Renault","Clio",2022,15,2,"RAC",590000,585000,1
525534,"Renault","Taliant",2022,14,1,"RAC",650000,636000,1
525536,"Renault","Taliant",2022,45,3,"RAC",670000,676000,1
525632,"Opel","Mokka",2022,41,1,"RAC",1195000,1183500,1
525744,"Renault","Megane",2020,112,11,"FILO",845000,845000,3
525745,"Renault","Megane",2020,203,64,"FILO",760000,807000,3
525766,"Renault","Clio",2019,171,97,"FILO",620000,620750,3
525767,"Renault","Clio",2018,200,31,"FILO",670000,687000,4
525769,"Renault","Megane",2020,11,11,"FILO",770000,770000,3
525803,"Renault","Clio",2018,172,20,"FILO",705000,706500,3
525804,"Renault","Megane",2020,82,4,"FILO",835000,836600,2
525805,"Renault","Megane",2020,10,5,"RAC",9e+05,9e+05,3
525872,"Renault","Clio",2022,132,19,"RAC",745000,0,2
525873,"Opel","Corsa",2021,54,12,"RAC",780000,752000,3
525878,"Renault","Taliant",2022,18,33,"RAC",645000,635500,1
525888,"Citroen","C3 AirCross",2022,75,16,"RAC",950000,945000,3
525926,"Renault","Megane",2020,0,0,"Satın Alma",1085000,1085000,1
526013,"Renault","Megane",2020,0,0,"Satın Alma",NA,1200000,1
526031,"Renault","Megane",2020,0,0,"Satın Alma",NA,1085000,1
526317,"Peugeot","2008",2022,38,3,"RAC",1165000,1165000,1
526318,"Citroen","C5 AirCross",2022,42,36,"RAC",1298000,1315000,2
526324,"Citroen","C3 AirCross",2022,44,6,"RAC",880000,0,3
526325,"Renault","Taliant",2022,105,20,"RAC",680000,666000,2
526327,"Renault","Clio",2022,38,6,"RAC",590000,591500,1
526328,"Renault","Clio",2022,68,30,"RAC",587500,594000,2
526332,"Renault","Clio",2022,52,8,"RAC",585000,585300,3
526458,"Opel","Mokka",2021,78,41,"RAC",1045000,1053500,2
526460,"Renault","Megane",2022,70,2,"RAC",850000,835000,2
526461,"Renault","Taliant",2022,163,23,"RAC",670000,674000,1
526468,"Peugeot","2008",2022,91,136,"RAC",1120000,1235000,1
526474,"Renault","Clio",2022,38,4,"RAC",730000,735700,1
526731,"Renault","Clio",2019,614,14,"RAC",444000,445500,4
527045,"Renault","Clio",2019,72,4,"FILO",735000,0,2
527047,"Renault","Clio",2019,109,2,"FILO",695000,0,3
527132,"Citroen","C-Elysee",2020,48,12,"RAC",565000,555000,2
527137,"Opel","Mokka",2021,46,30,"RAC",1030000,1041000,2
527138,"Opel","Mokka",2021,33,5,"RAC",1030000,1029000,1
